FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2697, fi_cycle=1636936, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=29, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=959381, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=59, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4375, fi_cycle=966672, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4370, fi_cycle=666332, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=19, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2547, fi_cycle=2788643, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=12, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=47, fi_cycle=1000422, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=53, opcode=fadd
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4372, fi_cycle=72093, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=37, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4370, fi_cycle=3383843, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=43, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2559, fi_cycle=3376989, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4373, fi_cycle=3380606, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=28, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2539, fi_cycle=2766427, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1414, fi_cycle=2665544, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=8, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=3386035, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=1, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3089, fi_cycle=1178107, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=3, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4386, fi_cycle=58083, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=61, opcode=load
